name,color
Albany Park,#E41A1C
Andersonville,#FFFF33
Archer Heights,#FF7F00
Armour Square,#FF7F00
Ashburn,#FF7F00
Auburn Gresham,#FF7F00
Austin,#FF7F00
Avondale,#FF7F00
Belmont Cragin,#999999
Beverly,#984EA3
Boystown,#984EA3
Bridgeport,#984EA3
Brighton Park,#984EA3
Bucktown,#984EA3
Chinatown,#984EA3
Clearing,#377EB8
Douglas,#377EB8
Dunning,#377EB8
East Side,#377EB8
East Village,#377EB8
Edgewater,#377EB8
Edison Park,#377EB8
Englewood,#377EB8
Gage Park,#377EB8
Garfield Park,#377EB8
Garfield Ridge,#377EB8
Gold Coast,#4DAF4A
Grand Crossing,#4DAF4A
Grant Park,#4DAF4A
Greektown,#4DAF4A
Hermosa,#4DAF4A
Humboldt Park,#F781BF
Hyde Park,#F781BF
Irving Park,#F781BF
Jackson Park,#A65628
Jefferson Park,#E41A1C
Kenwood,#FFFF33
Lake View,#FF7F00
Lincoln Park,#FF7F00
Lincoln Square,#FF7F00
"Little Italy, UIC",#FF7F00
Little Village,#FF7F00
Logan Square,#FF7F00
Loop,#999999
Lower West Side,#984EA3
Mckinley Park,#984EA3
Millenium Park,#984EA3
Morgan Park,#984EA3
Mount Greenwood,#984EA3
Museum Campus,#984EA3
Near South Side,#377EB8
New City,#377EB8
North Center,#377EB8
North Lawndale,#377EB8
North Park,#377EB8
Norwood Park,#377EB8
Oakland,#377EB8
O'Hare,#377EB8
Old Town,#377EB8
Portage Park,#377EB8
Printers Row,#377EB8
River North,#4DAF4A
Rogers Park,#4DAF4A
Rush & Division,#4DAF4A
"Sauganash,Forest Glen",#4DAF4A
Sheffield & DePaul,#4DAF4A
South Chicago,#F781BF
South Shore,#F781BF
Streeterville,#F781BF
Ukrainian Village,#A65628
United Center,#E41A1C
Uptown,#FFFF33
Washington Park,#FF7F00
West Elsdon,#FF7F00
West Lawn,#FF7F00
West Loop,#FF7F00
West Pullman,#FF7F00
West Ridge,#FF7F00
West Town,#999999
Wicker Park,#984EA3
Woodlawn,#984EA3
Wrigleyville,#984EA3
