name,color
Lower Manhattan,#E41A1C
Central Harlem,#FFFF33
Central Harlem South,#FF7F00
Chinatown,#FF7F00
Clinton,#FF7F00
East Harlem North,#FF7F00
East Harlem South,#FF7F00
East Village,#FF7F00
Gramercy,#999999
Hamilton Heights,#984EA3
Chelsea,#984EA3
Lenox Hill,#984EA3
Lincoln Square,#984EA3
Lower East Side,#984EA3
Manhattanville,#984EA3
Marble Hill-Inwood,#377EB8
Midtown,#377EB8
Morningside Heights,#377EB8
Murray Hill,#377EB8
Park,#377EB8
SoHo-TriBeCa,#377EB8
Stuyvesant Town-Cooper Village,#377EB8
Turtle Bay,#377EB8
Upper East Side,#377EB8
Upper West Side,#377EB8
Washington Heights North,#377EB8
Washington Heights South,#4DAF4A
West Village,#4DAF4A
Yorkville,#4DAF4A
